	title	is_fake	title_processed
2104	Серии Battlefield: Bad Company пообещали продолжение	0	серии battlefield bad company пообещали продолжение
2991	Участницы нового сезона шоу «Холостяк» поборются за руку и сердце бывшего мужа Любови Соболь	1	участницы нового сезона шоу холостяк поборются за руку и сердце бывшего мужа любови соболь
957	Бриз-М не смог вывести на расчетную орбиту спутник связи Arabsat 4A	0	бризм не смог вывести на расчетную орбиту спутник связи arabsat a
4703	РЖД отменили 144 электрички в регионах	0	ржд отменили  электрички в регионах
3938	Невакцинированных пенсионеров приравняют к работающим и лишат льгот	1	невакцинированных пенсионеров приравняют к работающим и лишат льгот
3243	Певица Manizha получит депутатский мандат за победу на «Евровидении»	1	певица manizha получит депутатский мандат за победу на евровидении
4336	Экклстоун покинул пост руководителя «Формулы-1» после 40 лет в должности	0	экклстоун покинул пост руководителя формулы после  лет в должности
411	Джастин Тимберлейк анонсировал новый релиз через Instagram	0	джастин тимберлейк анонсировал новый релиз через instagram
1945	Парламент Нидерландов запретил назвать представителей ЛГБТ меньшинством	1	парламент нидерландов запретил назвать представителей лгбт меньшинством
5524	Пентагон издал детскую книгу о том, как Иуда, генерал Сулеймани и Андрей Громыко решили украсть демократию	1	пентагон издал детскую книгу о том как иуда генерал сулеймани и андрей громыко решили украсть демократию
3936	Дворникам разрешат посещать общественные места без QR-кодов	1	дворникам разрешат посещать общественные места без qrкодов
3542	Грызлов поинтересуется у Шматко происхождением бензина Аи-98	0	грызлов поинтересуется у шматко происхождением бензина аи
2812	Нидерланды закупят сушёный конский навоз для отопления жилых домов	1	нидерланды закупят сушёный конский навоз для отопления жилых домов
2457	В ходе Послания Федеральному Собранию 21 апреля президент даст старт кампании импортозамещения предметов роскоши	1	в ходе послания федеральному собранию  апреля президент даст старт кампании импортозамещения предметов роскоши
1034	Французский режиссер Клер Дени показывает любовь в самых кровавых тонах	0	французский режиссер клер дени показывает любовь в самых кровавых тонах
4600	Американская армия будущего собирается воевать под управлением Linux	0	американская армия будущего собирается воевать под управлением linux
2585	Не рожала - не баба: депутат Слуцкий предложил поднять пенсионный возраст для нерожавших женщин	1	не рожала  не баба депутат слуцкий предложил поднять пенсионный возраст для нерожавших женщин
931	Сенатор Климов: «Операционная система Windows умышленно замедляла работу Дистанционного электронного голосования»	1	сенатор климов операционная система windows умышленно замедляла работу дистанционного электронного голосования
5554	Нефтяники начали поднимать цены на бензин	0	нефтяники начали поднимать цены на бензин
3071	В Израиле обнаружили фрагмент древнеегипетского сфинкса	0	в израиле обнаружили фрагмент древнеегипетского сфинкса
633	Ставки по потребительским кредитам в России вновь начали расти	0	ставки по потребительским кредитам в россии вновь начали расти
2316	Режиссеру Геликон-оперы предложили перебраться в Швецию	0	режиссеру геликоноперы предложили перебраться в швецию
498	Сергей Шойгу назвал турецкую атаку на российские вертолёты дружеской подначкой	1	сергей шойгу назвал турецкую атаку на российские вертолёты дружеской подначкой
